                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50475,                0.94908,                      1,                0.97924,              0.0033172,              0.0033172,              0.0033172
                      2,                0.24835,                0.94625,                      1,                0.97773,              0.0066176,              0.0066176,              0.0066176
                      3,                0.24457,                0.93211,                      1,                0.98047,              0.0098851,              0.0098851,              0.0098851
                      4,                0.30632,                0.91372,                      1,                 1.0106,              0.0098515,              0.0098515,              0.0098515
                      5,                0.31175,                0.93777,                      1,                0.97743,               0.009802,               0.009802,               0.009802
                      6,                0.32312,                0.93494,                      1,                0.99684,              0.0097525,              0.0097525,              0.0097525
                      7,                0.27815,                0.92928,                      1,                0.98189,               0.009703,               0.009703,               0.009703
                      8,                0.26644,                0.92786,                      1,                 0.9873,              0.0096535,              0.0096535,              0.0096535
                      9,                 0.2464,                0.94767,                      1,                0.97803,               0.009604,               0.009604,               0.009604
                     10,                0.22239,                 0.9505,                      1,                0.97864,              0.0095545,              0.0095545,              0.0095545
                     11,                0.26506,                0.94908,                      1,                0.97036,               0.009505,               0.009505,               0.009505
                     12,                0.20294,                0.95332,                      1,                 0.9821,              0.0094555,              0.0094555,              0.0094555
                     13,                0.23714,                0.95615,                      1,                0.96591,               0.009406,               0.009406,               0.009406
                     14,                 0.2045,                0.95615,                      1,                0.96892,              0.0093565,              0.0093565,              0.0093565
                     15,                0.19578,                0.94625,                      1,                 0.9814,               0.009307,               0.009307,               0.009307
                     16,                0.18717,                0.94484,                      1,                0.96516,              0.0092575,              0.0092575,              0.0092575
                     17,                0.17617,                0.94767,                      1,                 0.9634,               0.009208,               0.009208,               0.009208
                     18,                0.16624,                0.96181,                      1,                0.96109,              0.0091585,              0.0091585,              0.0091585
                     19,                0.16871,                0.95191,                      1,                0.95981,               0.009109,               0.009109,               0.009109
                     20,                0.19265,                0.93635,                      1,                 0.9655,              0.0090595,              0.0090595,              0.0090595
                     21,                0.17152,                0.94342,                      1,                0.97607,                0.00901,                0.00901,                0.00901
                     22,                0.17057,                 0.9505,                      1,                0.97365,              0.0089605,              0.0089605,              0.0089605
                     23,                0.14656,                0.95191,                      1,                0.96399,               0.008911,               0.008911,               0.008911
                     24,                0.14137,                0.95332,                      1,                0.96132,              0.0088615,              0.0088615,              0.0088615
                     25,                0.14331,                0.95191,                      1,                0.96393,               0.008812,               0.008812,               0.008812
                     26,                0.19032,                0.94484,                      1,                0.96389,              0.0087625,              0.0087625,              0.0087625
                     27,                0.13567,                0.95332,                      1,                0.96501,               0.008713,               0.008713,               0.008713
                     28,                0.13494,                0.95757,                      1,                0.95648,              0.0086635,              0.0086635,              0.0086635
                     29,                0.13741,                0.95474,                      1,                0.95928,               0.008614,               0.008614,               0.008614
                     30,                0.13325,                0.95898,                      1,                0.95559,              0.0085645,              0.0085645,              0.0085645
                     31,                0.13455,                0.94059,                      1,                0.96548,               0.008515,               0.008515,               0.008515
                     32,                0.12504,                0.94625,                      1,                0.96253,              0.0084655,              0.0084655,              0.0084655
                     33,                0.13034,                0.95332,                      1,                0.95544,               0.008416,               0.008416,               0.008416
                     34,                0.12367,                0.95474,                      1,                0.96153,              0.0083665,              0.0083665,              0.0083665
                     35,                0.12267,                0.94908,                      1,                0.96353,               0.008317,               0.008317,               0.008317
                     36,                 0.1317,                0.95615,                      1,                0.95695,              0.0082675,              0.0082675,              0.0082675
                     37,                0.12503,                0.95191,                      1,                0.96302,               0.008218,               0.008218,               0.008218
                     38,                0.11702,                0.94908,                      1,                0.96268,              0.0081685,              0.0081685,              0.0081685
                     39,                0.11613,                0.95615,                      1,                0.96087,               0.008119,               0.008119,               0.008119
                     40,                 0.1129,                0.94908,                      1,                0.96293,              0.0080695,              0.0080695,              0.0080695
                     41,                0.12204,                0.95191,                      1,                0.96939,                0.00802,                0.00802,                0.00802
                     42,                0.12664,                0.95332,                      1,                0.95875,              0.0079705,              0.0079705,              0.0079705
                     43,                0.12724,                0.94908,                      1,                0.96427,               0.007921,               0.007921,               0.007921
                     44,                0.10259,                0.95474,                      1,                0.95285,              0.0078715,              0.0078715,              0.0078715
                     45,                0.10642,                0.96322,                      1,                0.95232,               0.007822,               0.007822,               0.007822
                     46,                0.13864,                 0.9604,                      1,                0.94992,              0.0077725,              0.0077725,              0.0077725
                     47,                0.15903,                0.95898,                      1,                0.96126,               0.007723,               0.007723,               0.007723
                     48,                0.10568,                0.95332,                      1,                0.96353,              0.0076735,              0.0076735,              0.0076735
                     49,                0.09266,                0.95757,                      1,                 0.9548,               0.007624,               0.007624,               0.007624
                     50,                0.10836,                0.96181,                      1,                0.94822,              0.0075745,              0.0075745,              0.0075745
                     51,                0.11128,                0.94767,                      1,                0.96323,               0.007525,               0.007525,               0.007525
                     52,                0.11173,                0.94908,                      1,                0.96032,              0.0074755,              0.0074755,              0.0074755
                     53,                0.09365,                0.95757,                      1,                0.96769,               0.007426,               0.007426,               0.007426
                     54,                 0.1075,                0.95332,                      1,                0.96166,              0.0073765,              0.0073765,              0.0073765
                     55,                0.10777,                0.95332,                      1,                0.95949,               0.007327,               0.007327,               0.007327
                     56,                0.09172,                0.95332,                      1,                0.96977,              0.0072775,              0.0072775,              0.0072775
                     57,                0.09149,                0.95898,                      1,                0.95595,               0.007228,               0.007228,               0.007228
