                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0584,                 3.5548,                 0.9256,                  0.004,                    0.6,                0.15955,                0.14175,                0.76893,                   3.37,                0.81429,                  6e-05,                  6e-05,                  6e-05
                      2,                0.91405,                 3.3224,                0.89896,                  0.006,                    0.9,                0.36081,                0.23939,                 1.0185,                 3.3284,                0.82167,             0.00013931,             0.00013931,             0.00013931
                      3,                 1.0904,                 2.6462,                0.90876,                0.00667,                      1,                0.58092,                0.35439,                 1.0583,                 3.3297,                 0.8149,             0.00021782,             0.00021782,             0.00021782
                      4,                 1.0723,                 1.7706,                 0.8853,                0.00667,                      1,                0.60977,                0.29029,                 0.9793,                 3.2721,                0.80648,             0.00029554,             0.00029554,             0.00029554
                      5,                 1.1216,                 1.3503,                0.89177,                0.00667,                      1,                0.49718,                0.26563,                 1.0292,                 3.2543,                0.81858,             0.00037248,             0.00037248,             0.00037248
                      6,                0.97995,                 1.2614,                0.88104,                0.00667,                      1,                0.44821,                0.24408,                0.95951,                 3.2191,                0.81006,             0.00044862,             0.00044862,             0.00044862
                      7,                0.95477,                 1.3033,                 0.8946,                0.00667,                      1,                0.40847,                0.18572,                0.88194,                 3.2304,                0.82394,             0.00052396,             0.00052396,             0.00052396
                      8,                0.89719,                 1.2575,                0.88444,                0.00667,                      1,                0.12782,                0.04033,                 1.1117,                  3.278,                0.86535,             0.00059852,             0.00059852,             0.00059852
                      9,                0.89768,                 1.1829,                0.88415,                0.00667,                      1,                0.09618,                0.03585,                 1.0333,                 3.2274,                0.83988,             0.00067228,             0.00067228,             0.00067228
                     10,                0.83129,                 1.1295,                0.88373,                0.00644,                0.96667,                0.01707,                0.00961,                 1.2283,                 3.2962,                0.89784,             0.00074525,             0.00074525,             0.00074525
                     11,                0.87673,                 1.1428,                0.88301,                0.00644,                0.96667,                0.01835,                0.01152,                0.98802,                 3.2382,                0.85918,             0.00081743,             0.00081743,             0.00081743
                     12,                0.92676,                 1.0882,                0.87978,                0.00644,                0.96667,                0.02891,                0.01242,                 1.3958,                 3.2651,                0.96607,             0.00088882,             0.00088882,             0.00088882
                     13,                0.92004,                 1.1381,                0.88464,                0.00644,                0.96667,                0.05185,                0.03987,                 1.3232,                 3.2156,                0.95137,             0.00095941,             0.00095941,             0.00095941
                     14,                0.97581,                 1.0806,                 0.8836,                0.00644,                0.96667,                0.06092,                0.04959,                 1.1172,                 3.0806,                0.89241,              0.0010292,              0.0010292,              0.0010292
                     15,                0.88462,                 1.0887,                0.91807,                0.00644,                0.96667,                0.22711,                0.16599,                  1.306,                  2.962,                0.92133,              0.0010982,              0.0010982,              0.0010982
                     16,                0.88449,                 1.0298,                0.87161,                0.00644,                0.96667,                0.45986,                 0.3468,                 1.0867,                 2.8444,                0.87499,              0.0011664,              0.0011664,              0.0011664
                     17,                0.91796,                 1.0038,                 0.8876,                0.00644,                0.96667,                0.68528,                0.51509,                0.95786,                 2.6984,                0.83287,              0.0012339,              0.0012339,              0.0012339
                     18,                0.86774,                0.97428,                0.86104,                      1,                0.90232,                0.96512,                0.68593,                 1.0433,                 2.4044,                 0.8677,              0.0013005,              0.0013005,              0.0013005
                     19,                 0.8432,                0.95779,                0.87243,                      1,                0.82729,                0.96412,                0.67212,                  1.141,                 2.3068,                0.89589,              0.0013664,              0.0013664,              0.0013664
                     20,                0.80646,                 1.0266,                0.87916,                      1,                0.32505,                0.96512,                0.70111,                 1.0138,                 2.2386,                0.87832,              0.0014314,              0.0014314,              0.0014314
                     21,                0.83196,                0.96614,                 0.8946,                      1,                0.52916,                0.96512,                0.69045,                0.93945,                 2.1012,                0.86499,              0.0014957,              0.0014957,              0.0014957
