                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.779,                 10.919,                0.70191,                 5.1073,                 2.7115,                 0.0006,                0.01389,                0.00031,                  6e-05,                      0,                      0,                      0,                      0,                 3.7826,                 10.745,                 0.6809,                 7.0861,                 3.6151,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.6002,                 10.832,                0.69745,                  4.256,                 2.5664,                0.97909,                      1,                0.99473,                0.89738,                      0,                      0,                      0,                      0,                0.65442,                 10.815,                0.67804,                0.45012,                 1.1115,             0.00017911,             0.00017911,             0.00017911
                      3,                0.54466,                  10.17,                0.67795,                0.47778,                 1.0229,                0.99502,                      1,                  0.995,                0.96715,                      0,                      0,                      0,                      0,                0.30719,                 10.389,                0.65402,                0.52884,                0.91864,             0.00027723,             0.00027723,             0.00027723
                      4,                0.51619,                 9.1529,                0.66073,                0.41076,                0.98198,                0.88638,                      1,                0.95075,                0.84641,                      0,                      0,                      0,                      0,                0.53653,                 10.415,                0.62206,                0.66132,                 1.0621,             0.00037436,             0.00037436,             0.00037436
                      5,                0.42509,                  8.809,                0.66508,                0.36618,                0.94964,                0.88877,                 0.9988,                0.94553,                0.86454,                      0,                      0,                      0,                      0,                0.47317,                 9.9947,                0.56915,                 0.6571,                 1.0764,              0.0004705,              0.0004705,              0.0004705
                      6,                0.40514,                 8.2503,                0.64143,                0.35646,                0.91961,                0.97631,                0.98611,                0.99423,                0.89827,                      0,                      0,                      0,                      0,                0.47577,                 9.3539,                0.53262,                0.63411,                 1.0117,             0.00056565,             0.00056565,             0.00056565
                      7,                0.45281,                 7.6717,                0.63964,                0.36685,                0.98169,                0.99631,                      1,                  0.995,                0.89307,                      0,                      0,                      0,                      0,                0.46289,                 8.4375,                0.48036,                0.55191,                 1.0281,              0.0006598,              0.0006598,              0.0006598
                      8,                0.45681,                 7.4916,                0.64274,                0.37719,                0.95927,                0.96462,                      1,                0.99486,                0.86906,                      0,                      0,                      0,                      0,                0.85163,                 7.4855,                0.48626,                0.72637,                 1.3292,             0.00075297,             0.00075297,             0.00075297
                      9,                0.48185,                 7.0946,                  0.642,                0.36453,                0.98445,                0.91477,                      1,                0.99269,                0.85556,                0.01274,                0.01389,                0.00057,                  6e-05,                0.95851,                 5.9996,                0.46452,                 1.1353,                 1.6337,             0.00084515,             0.00084515,             0.00084515
                     10,                0.46785,                 6.2885,                0.63227,                0.35087,                 0.9666,                0.92919,                      1,                 0.9924,                0.85133,                0.06217,                0.06944,                0.00553,                 0.0006,                0.70852,                 5.8341,                0.44003,                 1.5886,                 1.2151,             0.00093634,             0.00093634,             0.00093634
                     11,                0.46476,                 6.4113,                0.60979,                0.37554,                0.95018,                0.96156,                      1,                  0.995,                0.89422,                 0.0664,                0.06944,                0.00722,                0.00072,                0.57638,                  5.758,                 0.4005,                0.47142,                 1.1172,              0.0010265,              0.0010265,              0.0010265
                     12,                0.42721,                 6.2305,                0.62816,                0.34373,                0.93441,                 0.9596,                      1,                  0.995,                0.93604,                      0,                      0,                      0,                      0,                0.37583,                 6.1163,                0.38708,                0.45023,                0.94454,              0.0011157,              0.0011157,              0.0011157
                     13,                0.41487,                 5.9926,                0.60948,                 0.3317,                 0.9065,                0.99877,                      1,                  0.995,                0.94932,                      0,                      0,                      0,                      0,                0.35101,                 6.2146,                0.37335,                0.39566,                 0.9089,               0.001204,               0.001204,               0.001204
                     14,                0.39178,                 5.8008,                0.64906,                0.33644,                 0.9442,                0.99879,                      1,                  0.995,                 0.9575,                0.47165,                0.47222,                0.24148,                0.03939,                0.38504,                 4.7036,                0.36659,                0.45184,                0.93728,              0.0012912,              0.0012912,              0.0012912
                     15,                0.40532,                 5.5417,                0.58691,                0.35162,                0.91125,                 0.9988,                      1,                  0.995,                0.91097,                0.02776,                0.02778,                0.01612,                0.00161,                0.43746,                 5.6584,                 0.3031,                 0.4116,                0.94449,              0.0013774,              0.0013774,              0.0013774
                     16,                0.39368,                 5.1033,                0.62721,                 0.3299,                0.92881,                0.99812,                      1,                  0.995,                0.92026,                      0,                      0,                      0,                      0,                0.42686,                 6.0765,                0.27802,                0.32188,                0.95404,              0.0014627,              0.0014627,              0.0014627
                     17,                0.43075,                 4.8213,                0.62222,                0.33412,                0.93603,                0.98465,                      1,                  0.995,                0.92223,                      0,                      0,                      0,                      0,                0.41179,                 5.7537,                0.30931,                0.45487,                0.97356,              0.0015469,              0.0015469,              0.0015469
                     18,                0.47009,                 4.7935,                   0.63,                 0.3604,                 0.9724,                0.98557,                      1,                  0.995,                0.92496,                0.37041,                  0.375,                 0.2098,                0.02261,                 0.3842,                 4.9843,                0.28475,                0.39672,                0.94194,              0.0016302,              0.0016302,              0.0016302
                     19,                0.44043,                 4.6195,                0.62029,                0.36319,                0.92668,                0.78808,                      1,                  0.995,                0.90869,                0.78808,                      1,                  0.995,                0.35206,                0.43116,                 3.6528,                 0.3042,                0.98447,                0.94328,              0.0017125,              0.0017125,              0.0017125
                     20,                0.43769,                 4.3707,                0.59436,                0.35188,                0.93526,                0.99849,                      1,                  0.995,                0.98258,                      0,                      0,                      0,                      0,                0.32432,                 7.0978,                0.26822,                0.29747,                0.92628,              0.0017938,              0.0017938,              0.0017938
                     21,                0.47812,                  4.208,                0.58487,                0.33996,                0.95077,                0.98093,                      1,                0.99486,                0.96198,                0.01365,                0.01389,                0.00046,                  5e-05,                0.45328,                 6.4477,                0.27599,                0.43162,                 0.9754,               0.001802,               0.001802,               0.001802
                     22,                0.47545,                 4.3409,                0.56767,                0.34825,                0.93435,                0.99504,                      1,                  0.995,                0.93548,                0.99504,                      1,                  0.995,                0.27099,                0.43232,                 3.7843,                0.28029,                0.39349,                0.92031,              0.0017921,              0.0017921,              0.0017921
                     23,                0.40893,                 3.9183,                0.57913,                0.34052,                0.92621,                0.96695,                      1,                0.99486,                0.85794,                0.41299,                0.43056,                0.23793,                0.02448,                0.48784,                  4.388,                0.23433,                0.43777,                0.99845,              0.0017822,              0.0017822,              0.0017822
                     24,                 0.4149,                 3.8938,                0.55166,                0.32572,                0.94905,                0.99921,                      1,                  0.995,                0.90785,                0.98533,                0.98611,                0.98315,                0.21857,                0.37732,                 4.2387,                0.23244,                0.30924,                0.94398,              0.0017723,              0.0017723,              0.0017723
                     25,                0.40546,                 3.5279,                0.53258,                0.32327,                0.94259,                0.99922,                      1,                  0.995,                0.93667,                0.55539,                0.55556,                0.34844,                0.03491,                0.35409,                 4.3388,                0.25199,                0.30358,                0.91438,              0.0017624,              0.0017624,              0.0017624
                     26,                0.39446,                 3.3769,                0.58234,                0.31604,                0.91781,                0.99895,                      1,                  0.995,                  0.995,                0.95733,                0.95833,                0.94972,                  0.198,                0.28164,                 3.6316,                0.26476,                0.22886,                0.87427,              0.0017525,              0.0017525,              0.0017525
                     27,                0.37034,                 3.4206,                0.55989,                0.32667,                0.92392,                0.99855,                      1,                  0.995,                0.92133,                0.92918,                0.93056,                0.91077,                0.17982,                0.34282,                 3.6355,                0.24281,                0.27038,                0.92913,              0.0017426,              0.0017426,              0.0017426
                     28,                0.38594,                 3.8502,                0.57502,                0.32173,                0.94149,                0.99891,                      1,                  0.995,                0.92021,                0.01662,                0.01389,                0.01532,                0.00306,                0.42346,                 4.9357,                 0.2667,                0.33853,                0.99232,              0.0017327,              0.0017327,              0.0017327
                     29,                0.36002,                 3.5803,                0.54215,                0.31308,                0.89092,                0.99904,                      1,                  0.995,                0.98996,                0.91614,                0.91667,                0.91143,                0.17464,                0.29449,                 3.9358,                0.26167,                0.30862,                0.91176,              0.0017228,              0.0017228,              0.0017228
                     30,                0.34476,                 3.5312,                0.55119,                0.29491,                0.89157,                0.99911,                      1,                  0.995,                0.98713,                0.99911,                      1,                  0.995,                 0.5278,                0.23182,                 2.6158,                 0.2891,                0.26262,                0.87773,              0.0017129,              0.0017129,              0.0017129
                     31,                0.32812,                 3.5815,                0.55632,                0.28732,                0.88788,                0.99903,                      1,                  0.995,                0.98868,                0.98515,                0.98611,                 0.9852,                0.36794,                0.24513,                 2.9545,                0.32762,                0.26001,                0.87201,               0.001703,               0.001703,               0.001703
                     32,                0.35065,                 3.5243,                0.55046,                0.30012,                0.91823,                0.99894,                      1,                  0.995,                0.98004,                0.99894,                      1,                  0.995,                  0.524,                0.41461,                 2.4992,                0.24654,                0.33235,                0.93447,              0.0016931,              0.0016931,              0.0016931
                     33,                0.37373,                  3.149,                0.50387,                0.30703,                0.88308,                0.99874,                      1,                  0.995,                0.99383,                0.86069,                0.86111,                0.86637,                0.32835,                0.31574,                 3.3628,                0.22807,                0.30456,                0.89206,              0.0016832,              0.0016832,              0.0016832
                     34,                0.32421,                 3.1033,                0.56488,                0.29787,                0.89139,                0.99894,                      1,                  0.995,                0.98665,                0.99894,                      1,                  0.995,                0.55232,                0.26586,                 2.4559,                0.26094,                0.22041,                 0.8901,              0.0016733,              0.0016733,              0.0016733
                     35,                0.32284,                  2.786,                0.53142,                 0.2881,                0.88141,                 0.9992,                      1,                  0.995,                0.93044,                 0.9992,                      1,                  0.995,                0.66132,                0.30714,                 1.9461,                0.27775,                0.25278,                0.91096,              0.0016634,              0.0016634,              0.0016634
                     36,                0.34437,                 3.0709,                0.53364,                0.29126,                0.87931,                0.99925,                      1,                  0.995,                  0.995,                0.99925,                      1,                  0.995,                0.60331,                0.27128,                 1.9194,                0.25914,                 0.2035,                0.86227,              0.0016535,              0.0016535,              0.0016535
                     37,                0.32048,                 2.5294,                0.50262,                0.29067,                0.89636,                0.99926,                      1,                  0.995,                0.98539,                0.99926,                      1,                  0.995,                0.72191,                0.24625,                 1.4251,                 0.2702,                0.20781,                0.86911,              0.0016436,              0.0016436,              0.0016436
                     38,                0.29907,                 2.4744,                0.53317,                 0.2786,                 0.8947,                0.99925,                      1,                  0.995,                0.98884,                0.99925,                      1,                  0.995,                0.66141,                0.28239,                  1.568,                0.26822,                0.22911,                0.88619,              0.0016337,              0.0016337,              0.0016337
